index,command,raw_response,parsed_json,verifier_result,fail_reason,latency_ms
1,去充电桩,"{
  ""task"": [
    {
      ""action"": ""navigate_to"",
      ""target"": ""room_203"",
      ""condition"": """"
    }
  ]
}","{""task"": [{""action"": ""navigate_to"", ""target"": ""room_203"", ""condition"": """"}]}",1,,874.3
2,前往实验室门口,"{""task"":[{""action"":""navigate_to"",""target"":""lab_door"",""condition"":""没看到门牌""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""lab_door"", ""condition"": ""没看到门牌""}]}",1,,5866.0
3,到大厅后等待十秒,"{""task"":[{""action"":""wait"",""target"":""hallway"",""condition"":""10 seconds""}]}","{""task"": [{""action"": ""wait"", ""target"": ""hallway"", ""condition"": ""10 seconds""}]}",1,,2231.1
4,去会议室，确认看到会议室标志,"{""task"":[{""action"":""navigate_to"",""target"":""meeting_room"",""condition"":""has_seen_meeting_room_sign""},{""action"":""verify_target"",""target"":""meeting_room""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""meeting_room"", ""condition"": ""has_seen_meeting_room_sign""}, {""action"": ""verify_target"", ""target"": ""meeting_room""}]}",0,task[1] missing fields: ['condition']; task[1] condition must be a string,770.7
5,搜索走廊尽头的出口,"{""task"":[{""action"":""navigate_to"",""target"":""corridor尽头"",""condition"":""没看到门牌""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""corridor尽头"", ""condition"": ""没看到门牌""}]}",0,task[0] target must be normalized ASCII: 'corridor尽头',538.8
6,先去大厅，再去实验室,"{
  ""task"": [
    {
      ""action"": ""navigate_to"",
      ""target"": ""hallway"",
      ""condition"": ""true""
    },
    {
      ""action"": ""navigate_to"",
      ""target"": ""lab"",
      ""condition"": ""true""
    }
  ]
}","{""task"": [{""action"": ""navigate_to"", ""target"": ""hallway"", ""condition"": ""true""}, {""action"": ""navigate_to"", ""target"": ""lab"", ""condition"": ""true""}]}",1,,1360.8
7,前往仓库并确认到达,"{""task"":[{""action"":""navigate_to"",""target"":""warehouse"",""condition"":""true""},{""action"":""verify_target"",""target"":""warehouse""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""warehouse"", ""condition"": ""true""}, {""action"": ""verify_target"", ""target"": ""warehouse""}]}",0,task[1] missing fields: ['condition']; task[1] condition must be a string,620.4
8,去充电桩，如果没有看到就搜索,"{""task"":[{""action"":""navigate_to"",""target"":""充电桩"",""condition"":""没看到门牌""},{""action"":""verify_target"",""target"":""充电桩""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""充电桩"", ""condition"": ""没看到门牌""}, {""action"": ""verify_target"", ""target"": ""充电桩""}]}",0,task[0] target must be normalized ASCII: '充电桩'; task[1] missing fields: ['condition']; task[1] target must be normalized ASCII: '充电桩'; task[1] condition must be a string,652.5
9,到电梯口等待五秒,"{
  ""task"": [
    {
      ""action"": ""wait"",
      ""target"": ""elevator entrance"",
      ""condition"": ""5 seconds""
    }
  ]
}","{""task"": [{""action"": ""wait"", ""target"": ""elevator entrance"", ""condition"": ""5 seconds""}]}",1,,846.9
10,寻找一号房间,"{""task"":[{""action"":""navigate_to"",""target"":""room_1#1"",""condition"":""not (seen_door or not room_exists)""},{""action"":""verify_target"",""target"":""room_1#1""}]}","{""task"": [{""action"": ""navigate_to"", ""target"": ""room_1#1"", ""condition"": ""not (seen_door or not room_exists)""}, {""action"": ""verify_target"", ""target"": ""room_1#1""}]}",0,task[1] missing fields: ['condition']; task[1] condition must be a string,920.3
